Gene chr
FHAD1 chr1
KIAA1026 chr1
CCDC23 chr1
TIE1 chr1
RP1-92O14 chr1
CCDC30 chr1
ZMYND12 chr1
PPIH chr1
CLDN19 chr1
LEPRE1 chr1
C1orf50 chr1
ERMAP chr1
EBNA1BP2 chr1
WDR65 chr1
TMEM125 chr1
C1orf210 chr1
MPL chr1
KIAA0467 chr1
GS1-122H1 chr1
RGSL1 chr1
RNASEL chr1
ZNF648 chr1
RGS16 chr1
NPL chr1
SCCPDH chr1
AHCTF1 chr1
ZNF669 chr1
BC043220 chr1
RP11-488L18 chr1
VN1R5 chr1
ZNF496 chr1
ZNF124 chr1
TFB2M chr1
ZNF695 chr1
GPR1 chr2
PARD3B chr2
NRP2 chr2
INO80D chr2
ZDBF2 chr2
ADAM23 chr2
AC097662 chr2
LOC654841 chr2
C2orf83 chr2
COL4A4 chr2
COL4A3 chr2
TM4SF20 chr2
AGFG1 chr2
SLC19A3 chr2
WDR69 chr2
HCG20 chr6
VARS2 chr6
HLA-B chr6
MICA chr6
MICB chr6
LTB chr6
FLOT1 chr6
C6orf214 chr6
CCHCR1 chr6
ABCF1 chr6
MRPS18B chr6
C6orf134 chr6
C6orf136 chr6
DHX16 chr6
KIAA1949 chr6
MDC1 chr6
IER3 chr6
DDR1 chr6
DPCR1 chr6
MUC21 chr6
C6orf15 chr6
CDSN chr6
PSORS1C2 chr6
PSORS1C1 chr6
TCF19 chr6
HLA-C chr6
BAT1 chr6
TNF chr6
AQR chr15
ATPBD4 chr15
NUDT7 chr16
MON1B chr16
LOC100130958 chr16
ADAMTS18 chr16
VAT1L chr16
WWOX chr16
RP11-345M22 chr16
OSGIN1 chr16
DNAAF1 chr16
LRRC50 chr16
CDH13 chr16
MLYCD chr16
NECAB2 chr16
SLC38A8 chr16
MBTPS1 chr16
HSDL1 chr16
TAF1C chr16
ADAD2 chr16
AK123582 chr16
AC110084 chr2
SLC4A1AP chr2
AK124439 chr2
BRE chr2
TRANK1 chr3
EPM2AIP1 chr3
MLH1 chr3
LRRFIP2 chr3
ITIH1 chr3
PBRM1 chr3
GNL3 chr3
NEK4 chr3
ITIH3 chr3
ITIH4 chr3
TMEM110 chr3
SFMBT1 chr3
ADCY2 chr5
ELFN1 chr7
PARP10 chr8
SCRIB chr8
EPPK1 chr8
PLEC1 chr8
GRINA chr8
SPATC1 chr8
OPLAH chr8
GPAA1 chr8
SHARPIN chr8
KIAA1875 chr8
DKFZp434F0427 chr8
HEATR7A chr8
ANK3 chr10
RP11-467L20 chr11
C11orf9 chr11
DAGLA chr11
DKFZp434K028 chr11
FEN1 chr11
RAB3IL1 chr11
BEST1 chr11
CFL1 chr11
CTSW chr11
MUS81 chr11
EFEMP2 chr11
FOSL1 chr11
TSGA10IP chr11
SART1 chr11
EIF1AD chr11
CATSPER1 chr11
PACS1 chr11
KLC2 chr11
C15orf53 chr15
SNAP23 chr15
HAUS2 chr15
KIAA1300 chr15
CDAN1 chr15
TTBK2 chr15
UBR1 chr15
SCAND2P chr15
RP11-245C17 chr15
SCAND2 chr15
ZSCAN2 chr15
NMB chr15
ZNF592 chr15
ALPK3 chr15
ARMC6 chr19
SLC25A42 chr19
TMEM161A chr19
MEF2B chr19
NCAN chr19
HAPLN4 chr19
TM6SF2 chr19
SF4 chr19
GATAD2A chr19
PFKFB3 chr10
SEPHS1 chr10
YME1L1 chr10
SYT15 chr10
RP11-443O13 chr10
CDH23 chr10
ASCC1 chr10
RP11-31E13 chr10
ANXA11 chr10
CCSER2 chr10
PCGF5 chr10
LOC100188947 chr10
SLIT1 chr10
DNMBP-AS1 chr10
SEC31B chr10
MRPL43 chr10
SFXN2 chr10
FAM45A chr10
HMX2 chr10
RP11-140A10 chr10
STK32C chr10
IDI2 chr10
PFKP chr10
GJD4 chr10
C10orf128 chr10
FAM21A chr10
MBL2 chr10
ADAMTS14 chr10
USP54 chr10
UNQ766 chr10
ZCCHC24 chr10
MAT1A chr10
LRIT1 chr10
SFXN3 chr10
BTRC chr10
ARL3 chr10
C10orf26 chr10
INA chr10
CALHM2 chr10
DCLRE1A chr10
ARMS2 chr10
CTBP2 chr10
MMP21 chr10
GPR123 chr10
ZMYND11 chr10
DIP2C chr10
C10orf108 chr10
LARP4B chr10
GTPBP4 chr10
IDI1 chr10
ADARB2 chr10
PITRM1 chr10
NET1 chr10
C10orf18 chr10
ANKRD16 chr10
PRKCQ chr10
SFMBT2 chr10
ITIH5 chr10
TAF3 chr10
ECHDC3 chr10
C10orf47 chr10
UPF2 chr10
DHTKD1 chr10
OPTN chr10
PHYH chr10
FRMD4A chr10
FAM107B chr10
CDNF chr10
HSP60 chr10
DCLRE1C chr10
C10orf111 chr10
FAM171A1 chr10
FAM188A chr10
C1QL3 chr10
CUBN chr10
STAM chr10
SLC39A12 chr10
CACNB2 chr10
C10orf113 chr10
C10orf114 chr10
BMI1 chr10
OTUD1 chr10
ARHGAP21 chr10
GPR158 chr10
GAD2 chr10
APBB1IP chr10
PDSS1 chr10
ANKRD26 chr10
ACBD5 chr10
MKX chr10
WAC chr10
SVIL chr10
KIAA1462 chr10
MTPAP chr10
ZNF438 chr10
KIF5B chr10
NRP1 chr10
FZD8 chr10
ZNF33A chr10
ZNF37A chr10
HSD17B7P2 chr10
ZNF33B chr10
BMS1 chr10
CSGALNACT2 chr10
FXYD4 chr10
ZNF239 chr10
ZNF485 chr10
ZNF32 chr10
TMEM72 chr10
RASSF4 chr10
C10orf25 chr10
ALOX5 chr10
MARCH8 chr10
ANUBL1 chr10
FRMPD2 chr10
WDFY4 chr10
C10orf72 chr10
FAM170B chr10
C10orf71 chr10
ERCC6 chr10
SLC18A3 chr10
CHAT chr10
NCOA4 chr10
CSTF2T chr10
DKK1 chr10
FAM13C chr10
CCDC6 chr10
TMEM26 chr10
ARID5B chr10
ZNF365 chr10
ADO chr10
NRBF2 chr10
JMJD1C chr10
LRRTM3 chr10
CTNNA3 chr10
SIRT1 chr10
ATOH7 chr10
HNRNPH3 chr10
SLC25A16 chr10
TET1 chr10
DDX50 chr10
KIAA1279 chr10
SUPV3L1 chr10
HKDC1 chr10
HK1 chr10
TACR2 chr10
TSPAN15 chr10
NEUROG3 chr10
COL13A1 chr10
AIFM2 chr10
TYSND1 chr10
NPFFR1 chr10
PRF1 chr10
SGPL1 chr10
UNC5B chr10
SLC29A3 chr10
RP11-472K8-001 chr10
C10orf54 chr10
PSAP chr10
CHST3 chr10
SPOCK2 chr10
DDIT4 chr10
DNAJB12 chr10
CBARA1 chr10
NUDT13 chr10
ECD chr10
FAM149B1 chr10
DNAJC9 chr10
MRPS16 chr10
ZMYND17 chr10
MYOZ1 chr10
SYNPO2L chr10
SEC24C chr10
FUT11 chr10
KIAA0913 chr10
CAMK2G chr10
VCL chr10
MYST4 chr10
DUPD1 chr10
COMTD1 chr10
DLG5 chr10
AK125684 chr10
POLR3A chr10
ZMIZ1 chr10
PPIF chr10
DYDC2 chr10
C10orf58 chr10
TSPAN14 chr10
GHITM chr10
PCDH21 chr10
RGR chr10
KIAA1128 chr10
OPN4 chr10
LDB3 chr10
MMRN2 chr10
SNCG chr10
GLUD1 chr10
MINPP1 chr10
KILLIN chr10
RNLS chr10
STAMBPL1 chr10
LIPA chr10
IFIT5 chr10
PANK1 chr10
KIF20B chr10
RPP30 chr10
PPP1R3C chr10
TNKS2 chr10
FGFBP3 chr10
IDE chr10
GPR120 chr10
C10orf4 chr10
PLCE1 chr10
NOC3L chr10
HELLS chr10
SORBS1 chr10
TCTN3 chr10
OPALIN chr10
TLL2 chr10
TM9SF3 chr10
C10orf12 chr10
FRAT1 chr10
RRP12 chr10
MMS19 chr10
UBTD1 chr10
ANKRD2 chr10
C10orf62 chr10
PI4K2A chr10
SFRP5 chr10
C10orf28 chr10
LOXL4 chr10
HPS1 chr10
CNNM1 chr10
GOT1 chr10
NKX2-3 chr10
ENTPD7 chr10
COX15 chr10
DNMBP chr10
ERLIN1 chr10
NDUFB8 chr10
HIF1AN chr10
FAM178A chr10
SEMA4G chr10
C10orf2 chr10
LZTS2 chr10
PDZD7 chr10
TLX1 chr10
POLL chr10
C10orf76 chr10
HPS6 chr10
PPRC1 chr10
PITX3 chr10
GBF1 chr10
NFKB2 chr10
PSD chr10
FBXL15 chr10
C10orf95 chr10
TMEM180 chr10
SUFU chr10
TRIM8 chr10
CNNM2 chr10
PDCD11 chr10
NEURL chr10
SH3PXD2A chr10
OBFC1 chr10
COL17A1 chr10
C10orf79 chr10
ITPRIP chr10
SORCS3 chr10
SORCS1 chr10
ADD3 chr10
DUSP5 chr10
RBM20 chr10
ADRA2A chr10
GPAM chr10
TECTB chr10
ZDHHC6 chr10
HABP2 chr10
NRAP chr10
ADRB1 chr10
AFAP1L2 chr10
ABLIM1 chr10
FAM160B1 chr10
GFRA1 chr10
C10orf82 chr10
C10orf134 chr10
RAB11FIP2 chr10
PRLHR chr10
NANOS1 chr10
EIF3A chr10
PRDX3 chr10
C10orf119 chr10
SEC23IP chr10
BRWD2 chr10
FGFR2 chr10
NSMCE4A chr10
TACC2 chr10
BTBD16 chr10
DMBT1 chr10
FAM24A chr10
CPXM2 chr10
METTL10 chr10
FAM175B chr10
C10orf137 chr10
FANK1 chr10
DOCK1 chr10
BC132944 chr10
MKI67 chr10
MGMT chr10
GLRX3 chr10
TCERG1L chr10
PPP2R2D chr10
JAKMIP3 chr10
DPYSL4 chr10
INPP5A chr10
DKFZp434A1721 chr10
C10orf93 chr10
KNDC1 chr10
UTF1 chr10
TUBGCP2 chr10
ZNF511 chr10
CALY chr10
C10orf125 chr10
MTG1 chr10
SPRN chr10
CYP2E1 chr10
TALDO1 chr11
EFCAB4A chr11
TNNT3 chr11
IGF2 chr11
NAP1L4 chr11
LOC650368 chr11
STIM1 chr11
TRIM66 chr11
AMPD3 chr11
MRVI1-AS1 chr11
CYP2R1 chr11
ABCC8 chr11
RP11-613F22 chr11
IGSF22 chr11
CD59 chr11
EHF chr11
SLC1A2 chr11
APLNR chr11
RP11-872D17 chr11
ZFP91 chr11
GLYATL2 chr11
TMEM216 chr11
INCENP chr11
TTC9C chr11
TMEM223 chr11
NXF1 chr11
WDR74 chr11
OTUB1 chr11
TRPT1 chr11
SSSCA1 chr11
RP11-867G23 chr11
PC chr11
CABP4 chr11
TMEM134 chr11
RP11-802E16 chr11
SUV420H1 chr11
PPFIA1 chr11
UCP3 chr11
XRRA1 chr11
CAPN5 chr11
DLG2 chr11
NAALAD2 chr11
AF086184 chr11
MRE11A chr11
CARD16 chr11
CARD17 chr11
COLCA2 chr11
RP11-839D17 chr11
AP000462 chr11
LOC100652768 chr11
AMICA1 chr11
MPZL2 chr11
PVRL1 chr11
TRIM29 chr11
SORL1 chr11
HSPA8 chr11
FOXRED1 chr11
RP11-713P17 chr11
OR10A6 chr11
LOC100126784 chr11
APIP chr11
ACCS chr11
MADD chr11
SLC43A1 chr11
METTL12 chr11
CCDC88B chr11
RASGRP2 chr11
IGHMBP2 chr11
KLHL35 chr11
AQP11 chr11
ATM chr11
C11orf71 chr11
MPZL3 chr11
HYOU1 chr11
ROBO4 chr11
FIBIN chr11
EML3 chr11
ADRBK1 chr11
DCPS chr11
C11orf45 chr11
RIC8A chr11
SIRT3 chr11
PSMD13 chr11
NLRP6 chr11
IFITM2 chr11
B4GALNT4 chr11
PKP3 chr11
SIGIRR chr11
PTDSS2 chr11
RNH1 chr11
LRRC56 chr11
RASSF7 chr11
PHRF1 chr11
IRF7 chr11
MUPCDH chr11
DRD4 chr11
DEAF1 chr11
EPS8L2 chr11
SLC25A22 chr11
LRDD chr11
PNPLA2 chr11
TSPAN4 chr11
CHID1 chr11
AP2A2 chr11
MUC6 chr11
MUC2 chr11
MUC5AC chr11
BRSK2 chr11
HCCA2 chr11
CTSD chr11
TSPAN32 chr11
TRPM5 chr11
SLC22A18AS chr11
SLC22A18 chr11
PHLDA2 chr11
CARS chr11
OSBPL5 chr11
ZNF195 chr11
CHRNA10 chr11
NUP98 chr11
RRM1 chr11
OR52K2 chr11
OR51F2 chr11
OR52A1 chr11
OR51M1 chr11
OR51Q1 chr11
OR52D1 chr11
OR52B6 chr11
OR52E6 chr11
OR56B4 chr11
OR52W1 chr11
FAM160A2 chr11
CNGA4 chr11
CCKBR chr11
PRKCDBP chr11
SMPD1 chr11
APBB1 chr11
TRIM3 chr11
FXC1 chr11
DNHD1 chr11
RRP8 chr11
ILK chr11
TPP1 chr11
DCHS1 chr11
MRPL17 chr11
ZNF214 chr11
NLRP14 chr11
OLFML1 chr11
PPFIBP2 chr11
CYB5R2 chr11
OR5P3 chr11
RIC3 chr11
ST5 chr11
TMEM9B chr11
SCUBE2 chr11
DENND5A chr11
TMEM41B chr11
SBF2 chr11
ADM chr11
MRVI1 chr11
CTR9 chr11
EIF4G2 chr11
ZBED5 chr11
GALNTL4 chr11
USP47 chr11
DKK3 chr11
MICAL2 chr11
TEAD1 chr11
RASSF10 chr11
FAR1 chr11
SPON1 chr11
COPB1 chr11
PDE3B chr11
PLEKHA7 chr11
DKFZp686I21167 chr11
KCNJ11 chr11
SERGEF chr11
SAAL1 chr11
HPS5 chr11
GTF2H1 chr11
SPTY2D1 chr11
MRGPRX1 chr11
ZDHHC13 chr11
NAV2 chr11
DBX1 chr11
SLC6A5 chr11
FANCF chr11
LGR4 chr11
QSER1 chr11
DEPDC7 chr11
CSTF3 chr11
HIPK3 chr11
C11orf41 chr11
CAT chr11
PDHX chr11
FJX1 chr11
LDLRAD3 chr11
RAG1 chr11
TTC17 chr11
ALKBH3 chr11
LOC387763 chr11
ALX4 chr11
TSPAN18 chr11
PRDM11 chr11
DKFZp779M0652 chr11
CRY2 chr11
MAPK8IP1 chr11
C11orf94 chr11
PEX16 chr11
PHF21A chr11
CREB3L1 chr11
DGKZ chr11
AMBRA1 chr11
KIAA0652 chr11
ARHGAP1 chr11
ZNF408 chr11
CKAP5 chr11
LRP4 chr11
C11orf49 chr11
ARFGAP2 chr11
PACSIN3 chr11
DDB2 chr11
NR1H3 chr11
SLC39A13 chr11
PSMC3 chr11
RAPSN chr11
KBTBD4 chr11
NDUFS3 chr11
C1QTNF4 chr11
NUP160 chr11
PTPRJ chr11
OR4B1 chr11
OR4X2 chr11
FOLH1 chr11
OR4C15 chr11
OR5D18 chr11
TNKS1BP1 chr11
SLC43A3 chr11
SMTNL1 chr11
ZDHHC5 chr11
C11orf31 chr11
CTNND1 chr11
OR5B3 chr11
LPXN chr11
CNTF chr11
DTX4 chr11
MPEG1 chr11
OR5A1 chr11
OSBP chr11
PATL1 chr11
MRPL16 chr11
CCDC86 chr11
ZP1 chr11
TMEM132A chr11
CD6 chr11
CD5 chr11
VPS37C chr11
VWCE chr11
DDB1 chr11
